,0
6," Congrats people, now you have elected a government that doesn't fear and respect its people."
7, Now... Agneepath for armed forces.. Later... Louhapath for railways... Rajpath for civil services... Mudrapath for banks....
8, This but unironically. Do civil services next.
9, Once all this is done.. Footpath is where common man will be..
10, IAS wala sahi ha
11, Chutiyapath for public
12," This government has destroyed the Indian economy. Today, under NDA government, Indian economy isn’t sufficient to maintain army personnel and the benefits that come with the job. This is demoralising and an insult to the aspirants."
13," Indian economy isn’t sufficient to maintain army personnel The problem is that the dependence on the armed forces for employment has become too much due to lack of other viable employment opportunities, especially in the age group that has been impacted in this scheme."
14," Pensions take up a larger portion of the military’s budget now than ever before.  Almost 50% now.  Unless you want to cut funding for other forms of public welfare to accommodate the increasing pensions, there’s no real choice.  This should have been done a long time ago."
16," THe problem is yearly there is 50,000 vacancy for army soldiers . Selection ration is about 1:25 . So almost like 10-12 lakhs youth is engaged into that . Most of them are farmer's son . They don't have much oppurtunity . Killing the dream of so many can lead to sociological issues in society I think they will still go for agniveer , they don't have much of a choice . Its the army which will suffer , half the soldier's will be in tourist mode"
17, Lode lag gaye.
18, Pakoda production goes brrr..
19," Fuck, the next few days are going to be trouble I guess. I guess this was the actual intent of the original notification but wasnt being publicly stated. This effectively cuts off a ton of people suddenly from hope of getting a permanent job during the most hormonally volatile times of their life. I know of entire villages dedicated to practising PT and such with the sole aim of joing the forces. I think with this move, the BJP has offically put its hand in a hornet's nest."
1, thoda both mai bhi dunga chalo
1, Do you get my point?
2, Haan ye baat to hai bas saamne walon ko samajh nahi aata kya soch ke karte hain 😂
1," Yes, there will be huge shift to the lateral entry of Bureaucrats based on the area of specialization. I am sure they will do it."
1," Then won't you think the current situation is the worst time to introduce these reforms. When unemployment is at record levels and no amry intake for last 2 years. The army Lt. General says that this was the most painless time to execute, maybe for him it was. But for the people, it's causing them pain."
0," People angry about something they never had and they not gonna have? Boo fuckin hoo. Why not find a different line of work to be interested in? Also, shouldn't countries be working towards disarming and having no army at all? There are countries in the world already doing it and don't even have an army any longer. I get the with India having enemies no both sides of the country(country of hate at work no surprise here) in the north there needs some forces. But ideally, we should be working towards it as well. I mean, no one's gonna invade this place anyway. Millions of army personal to defend against whom exactly? Why would anyone want to come here anymore? Invade and take what exactly? There's nothing left in this shit hole of a country expect useless unemployed, uneducated & religious lunatics burning up the place over the last couple of years."
1," Woah woah woah take a chill pal. Don't be offended if I call you a lunatic and neither be ashamed of having a appointment with an Therapist cause you wouldn't have said same words if there was a bomb under your ass or if you were rather standing on LOC rather than talking crap about the importance of armed forces from your home, dipshit."
